log2l1s,2-way Set Assoc.,4-way Set Assoc.,8-way Set Assoc.,Direct Mapped,Fully Assoc.
10.0,0.156,0.1427,0.1363,0.1935,0.137
11.0,0.1071,0.0962,0.0907,0.1477,0.0886
12.0,0.0753,0.0599,0.0537,0.1002,0.0495
13.0,0.0473,0.0425,0.0395,0.067,0.0391
14.0,0.0338,0.0283,0.0277,0.0461,0.0263
15.0,0.0288,0.0264,0.0263,0.0377,0.0262
16.0,0.0271,0.026,0.0259,0.0329,0.0258
17.0,0.0259,0.0258,0.0258,0.0323,0.0258
18.0,0.0258,0.0258,0.0258,0.0258,0.0258
19.0,0.0258,0.0258,0.0258,0.0258,0.0258
20.0,0.0258,0.0258,0.0258,0.0258,0.0258
